X Coodinate [mm],Z Coodinate [mm],Height [nm]
8.44E-01,-3.22E-02,-1.30E+01
8.44E-01,-6.43E-02,-1.30E+01
8.44E-01,-9.65E-02,-1.30E+01
8.44E-01,-1.29E-01,-1.30E+01
8.44E-01,-1.61E-01,-1.30E+01
8.44E-01,-1.93E-01,-1.30E+01
8.94E-01,-3.22E-02,-1.30E+01
8.94E-01,-6.43E-02,-1.30E+01
8.94E-01,-9.65E-02,-1.30E+01
8.94E-01,-1.29E-01,-1.30E+01
8.94E-01,-1.61E-01,-1.30E+01
8.94E-01,-1.93E-01,-1.30E+01
-4.96E-02,0.00E+00,-1.39E+01
-9.93E-02,0.00E+00,-1.38E+01
-1.49E-01,0.00E+00,-1.38E+01
-1.99E-01,0.00E+00,-1.38E+01
-2.48E-01,0.00E+00,-1.37E+01
-2.98E-01,0.00E+00,-1.37E+01
-3.48E-01,0.00E+00,-1.36E+01
-3.97E-01,0.00E+00,-1.36E+01
-4.47E-01,0.00E+00,-1.35E+01
-4.96E-01,0.00E+00,-1.34E+01
-5.46E-01,0.00E+00,-1.34E+01
-5.96E-01,0.00E+00,-1.33E+01
-6.45E-01,0.00E+00,-1.32E+01
-6.95E-01,0.00E+00,-1.32E+01
-7.45E-01,0.00E+00,-1.31E+01
-7.94E-01,0.00E+00,-1.31E+01
-8.44E-01,0.00E+00,-1.30E+01
-8.94E-01,0.00E+00,-1.30E+01
-8.94E-01,-3.22E-02,-1.29E+01
-8.94E-01,-6.43E-02,-1.29E+01
-8.94E-01,-9.65E-02,-1.29E+01
-8.94E-01,-1.29E-01,-1.29E+01
-8.94E-01,-1.61E-01,-1.29E+01
-8.94E-01,-1.93E-01,-1.29E+01
-8.44E-01,-3.22E-02,-1.30E+01
-8.44E-01,-6.43E-02,-1.30E+01
-8.44E-01,-9.65E-02,-1.30E+01
-8.44E-01,-1.29E-01,-1.30E+01
-8.44E-01,-1.61E-01,-1.30E+01
-8.44E-01,-1.93E-01,-1.30E+01
-7.94E-01,-3.22E-02,-1.31E+01
-7.94E-01,-6.43E-02,-1.31E+01
-7.94E-01,-9.65E-02,-1.30E+01
-7.94E-01,-1.29E-01,-1.30E+01
-7.94E-01,-1.61E-01,-1.30E+01
-7.94E-01,-1.93E-01,-1.30E+01
-7.45E-01,-3.22E-02,-1.31E+01
-7.45E-01,-6.43E-02,-1.31E+01
-7.45E-01,-9.65E-02,-1.31E+01
-7.45E-01,-1.29E-01,-1.31E+01
-7.45E-01,-1.61E-01,-1.31E+01
-7.45E-01,-1.93E-01,-1.31E+01
-6.95E-01,-3.22E-02,-1.32E+01
-6.95E-01,-6.43E-02,-1.32E+01
-6.95E-01,-9.65E-02,-1.32E+01
-6.95E-01,-1.29E-01,-1.31E+01
-6.95E-01,-1.61E-01,-1.31E+01
-6.95E-01,-1.93E-01,-1.31E+01
-6.45E-01,-3.22E-02,-1.32E+01
-6.45E-01,-6.43E-02,-1.32E+01
-6.45E-01,-9.65E-02,-1.32E+01
-6.45E-01,-1.29E-01,-1.32E+01
-6.45E-01,-1.61E-01,-1.32E+01
-6.45E-01,-1.93E-01,-1.32E+01
-5.96E-01,-3.22E-02,-1.33E+01
-5.96E-01,-6.43E-02,-1.33E+01
-5.96E-01,-9.65E-02,-1.33E+01
-5.96E-01,-1.29E-01,-1.33E+01
-5.96E-01,-1.61E-01,-1.32E+01
-5.96E-01,-1.93E-01,-1.32E+01
