X Coodinate [mm],Z Coodinate [mm],Height [um]
9.60E-01,-2.20E-02,-3.87E+00
9.60E-01,-4.40E-02,-3.87E+00
9.60E-01,-6.60E-02,-3.87E+00
9.60E-01,-8.80E-02,-3.87E+00
9.60E-01,-1.10E-01,-3.87E+00
9.60E-01,-1.32E-01,-3.87E+00
1.02E+00,-2.20E-02,-3.86E+00
1.02E+00,-4.40E-02,-3.86E+00
1.02E+00,-6.60E-02,-3.86E+00
1.02E+00,-8.80E-02,-3.86E+00
1.02E+00,-1.10E-01,-3.86E+00
1.02E+00,-1.32E-01,-3.85E+00
-5.65E-02,0.00E+00,-4.12E+00
-1.13E-01,0.00E+00,-4.11E+00
-1.69E-01,0.00E+00,-4.11E+00
-2.26E-01,0.00E+00,-4.09E+00
-2.82E-01,0.00E+00,-4.08E+00
-3.39E-01,0.00E+00,-4.07E+00
-3.95E-01,0.00E+00,-4.05E+00
-4.52E-01,0.00E+00,-4.03E+00
-5.08E-01,0.00E+00,-4.01E+00
-5.65E-01,0.00E+00,-3.99E+00
-6.21E-01,0.00E+00,-3.97E+00
-6.78E-01,0.00E+00,-3.95E+00
-7.34E-01,0.00E+00,-3.93E+00
-7.90E-01,0.00E+00,-3.91E+00
-8.47E-01,0.00E+00,-3.90E+00
-9.03E-01,0.00E+00,-3.88E+00
-9.60E-01,0.00E+00,-3.86E+00
-1.02E+00,0.00E+00,-3.85E+00
-1.02E+00,-2.20E-02,-3.85E+00
-1.02E+00,-4.40E-02,-3.84E+00
-1.02E+00,-6.60E-02,-3.84E+00
-1.02E+00,-8.80E-02,-3.84E+00
-1.02E+00,-1.10E-01,-3.84E+00
-1.02E+00,-1.32E-01,-3.84E+00
-9.60E-01,-2.20E-02,-3.86E+00
-9.60E-01,-4.40E-02,-3.86E+00
-9.60E-01,-6.60E-02,-3.86E+00
-9.60E-01,-8.80E-02,-3.86E+00
-9.60E-01,-1.10E-01,-3.86E+00
-9.60E-01,-1.32E-01,-3.86E+00
-9.03E-01,-2.20E-02,-3.88E+00
-9.03E-01,-4.40E-02,-3.88E+00
-9.03E-01,-6.60E-02,-3.88E+00
-9.03E-01,-8.80E-02,-3.87E+00
-9.03E-01,-1.10E-01,-3.87E+00
-9.03E-01,-1.32E-01,-3.87E+00
-8.47E-01,-2.20E-02,-3.90E+00
-8.47E-01,-4.40E-02,-3.89E+00
-8.47E-01,-6.60E-02,-3.89E+00
-8.47E-01,-8.80E-02,-3.89E+00
-8.47E-01,-1.10E-01,-3.89E+00
-8.47E-01,-1.32E-01,-3.89E+00
-7.90E-01,-2.20E-02,-3.91E+00
-7.90E-01,-4.40E-02,-3.91E+00
-7.90E-01,-6.60E-02,-3.91E+00
-7.90E-01,-8.80E-02,-3.91E+00
-7.90E-01,-1.10E-01,-3.90E+00
-7.90E-01,-1.32E-01,-3.90E+00
-7.34E-01,-2.20E-02,-3.93E+00
-7.34E-01,-4.40E-02,-3.93E+00
-7.34E-01,-6.60E-02,-3.93E+00
-7.34E-01,-8.80E-02,-3.93E+00
-7.34E-01,-1.10E-01,-3.92E+00
-7.34E-01,-1.32E-01,-3.92E+00
-6.78E-01,-2.20E-02,-3.95E+00
-6.78E-01,-4.40E-02,-3.95E+00
-6.78E-01,-6.60E-02,-3.95E+00
-6.78E-01,-8.80E-02,-3.94E+00
-6.78E-01,-1.10E-01,-3.94E+00
-6.78E-01,-1.32E-01,-3.93E+00
-6.21E-01,-2.20E-02,-3.97E+00
-6.21E-01,-4.40E-02,-3.97E+00
-6.21E-01,-6.60E-02,-3.97E+00
-6.21E-01,-8.80E-02,-3.96E+00
-6.21E-01,-1.10E-01,-3.96E+00
-6.21E-01,-1.32E-01,-3.95E+00
-5.65E-01,-2.20E-02,-3.99E+00
-5.65E-01,-4.40E-02,-3.99E+00
-5.65E-01,-6.60E-02,-3.98E+00
-5.65E-01,-8.80E-02,-3.98E+00
-5.65E-01,-1.10E-01,-3.97E+00
-5.65E-01,-1.32E-01,-3.97E+00
-5.08E-01,-2.20E-02,-4.01E+00
-5.08E-01,-4.40E-02,-4.01E+00
-5.08E-01,-6.60E-02,-4.00E+00
-5.08E-01,-8.80E-02,-4.00E+00
-5.08E-01,-1.10E-01,-3.99E+00
-5.08E-01,-1.32E-01,-3.99E+00
-4.52E-01,-2.20E-02,-4.03E+00
-4.52E-01,-4.40E-02,-4.03E+00
-4.52E-01,-6.60E-02,-4.02E+00
-4.52E-01,-8.80E-02,-4.01E+00
-4.52E-01,-1.10E-01,-4.01E+00
-4.52E-01,-1.32E-01,-4.00E+00
-3.95E-01,-2.20E-02,-4.05E+00
-3.95E-01,-4.40E-02,-4.04E+00
-3.95E-01,-6.60E-02,-4.04E+00
-3.95E-01,-8.80E-02,-4.03E+00
-3.95E-01,-1.10E-01,-4.02E+00
-3.95E-01,-1.32E-01,-4.02E+00
-3.39E-01,-2.20E-02,-4.06E+00
-3.39E-01,-4.40E-02,-4.06E+00
-3.39E-01,-6.60E-02,-4.05E+00
-3.39E-01,-8.80E-02,-4.05E+00
-3.39E-01,-1.10E-01,-4.04E+00
-3.39E-01,-1.32E-01,-4.03E+00
-2.82E-01,-2.20E-02,-4.08E+00
-2.82E-01,-4.40E-02,-4.08E+00
-2.82E-01,-6.60E-02,-4.07E+00
-2.82E-01,-8.80E-02,-4.06E+00
-2.82E-01,-1.10E-01,-4.05E+00
-2.82E-01,-1.32E-01,-4.04E+00
-2.26E-01,-2.20E-02,-4.09E+00
-2.26E-01,-4.40E-02,-4.09E+00
-2.26E-01,-6.60E-02,-4.08E+00
-2.26E-01,-8.80E-02,-4.07E+00
-2.26E-01,-1.10E-01,-4.06E+00
-2.26E-01,-1.32E-01,-4.05E+00
-1.69E-01,-2.20E-02,-4.10E+00
-1.69E-01,-4.40E-02,-4.10E+00
-1.69E-01,-6.60E-02,-4.09E+00
-1.69E-01,-8.80E-02,-4.08E+00
-1.69E-01,-1.10E-01,-4.07E+00
-1.69E-01,-1.32E-01,-4.06E+00
-1.13E-01,-2.20E-02,-4.11E+00
-1.13E-01,-4.40E-02,-4.11E+00
-1.13E-01,-6.60E-02,-4.10E+00
-1.13E-01,-8.80E-02,-4.09E+00
-1.13E-01,-1.10E-01,-4.08E+00
-1.13E-01,-1.32E-01,-4.07E+00
-5.65E-02,-2.20E-02,-4.12E+00
-5.65E-02,-4.40E-02,-4.11E+00
-5.65E-02,-6.60E-02,-4.10E+00
-5.65E-02,-8.80E-02,-4.09E+00
-5.65E-02,-1.10E-01,-4.08E+00
-5.65E-02,-1.32E-01,-4.07E+00
