4.44E-01,-2.17E-01,-1.11E-05
4.44E-01,-2.60E-01,-1.10E-05
4.89E-01,-4.33E-02,-1.11E-05
4.89E-01,-8.67E-02,-1.11E-05
4.89E-01,-1.30E-01,-1.11E-05
4.89E-01,-1.73E-01,-1.11E-05
4.89E-01,-2.17E-01,-1.10E-05
4.89E-01,-2.60E-01,-1.10E-05
5.33E-01,-4.33E-02,-1.11E-05
5.33E-01,-8.67E-02,-1.11E-05
5.33E-01,-1.30E-01,-1.10E-05
5.33E-01,-1.73E-01,-1.10E-05
5.33E-01,-2.17E-01,-1.10E-05
5.33E-01,-2.60E-01,-1.09E-05
5.78E-01,-4.33E-02,-1.10E-05
5.78E-01,-8.67E-02,-1.10E-05
5.78E-01,-1.30E-01,-1.10E-05
5.78E-01,-1.73E-01,-1.10E-05
5.78E-01,-2.17E-01,-1.09E-05
5.78E-01,-2.60E-01,-1.09E-05
6.22E-01,-4.33E-02,-1.10E-05
6.22E-01,-8.67E-02,-1.10E-05
6.22E-01,-1.30E-01,-1.09E-05
6.22E-01,-1.73E-01,-1.09E-05
6.22E-01,-2.17E-01,-1.09E-05
6.22E-01,-2.60E-01,-1.09E-05
6.67E-01,-4.33E-02,-1.09E-05
6.67E-01,-8.67E-02,-1.09E-05
6.67E-01,-1.30E-01,-1.09E-05
6.67E-01,-1.73E-01,-1.09E-05
6.67E-01,-2.17E-01,-1.08E-05
6.67E-01,-2.60E-01,-1.08E-05
7.11E-01,-4.33E-02,-1.09E-05
7.11E-01,-8.67E-02,-1.09E-05
7.11E-01,-1.30E-01,-1.08E-05
7.11E-01,-1.73E-01,-1.08E-05
7.11E-01,-2.17E-01,-1.08E-05
7.11E-01,-2.60E-01,-1.08E-05
7.55E-01,-4.33E-02,-1.08E-05
7.55E-01,-8.67E-02,-1.08E-05
7.55E-01,-1.30E-01,-1.08E-05
7.55E-01,-1.73E-01,-1.08E-05
7.55E-01,-2.17E-01,-1.08E-05
7.55E-01,-2.60E-01,-1.07E-05
8.00E-01,-4.33E-02,-1.08E-05
8.00E-01,-8.67E-02,-1.08E-05
8.00E-01,-1.30E-01,-1.07E-05
8.00E-01,-1.73E-01,-1.07E-05
8.00E-01,-2.17E-01,-1.07E-05
8.00E-01,-2.60E-01,-1.07E-05
-4.44E-02,0.00E+00,-1.16E-05
-8.89E-02,0.00E+00,-1.16E-05
-1.33E-01,0.00E+00,-1.15E-05
-1.78E-01,0.00E+00,-1.15E-05
-2.22E-01,0.00E+00,-1.15E-05
-2.67E-01,0.00E+00,-1.14E-05
-3.11E-01,0.00E+00,-1.14E-05
-3.56E-01,0.00E+00,-1.13E-05
-4.00E-01,0.00E+00,-1.13E-05
-4.44E-01,0.00E+00,-1.12E-05
-4.89E-01,0.00E+00,-1.11E-05
-5.33E-01,0.00E+00,-1.11E-05
-5.78E-01,0.00E+00,-1.10E-05
-6.22E-01,0.00E+00,-1.10E-05
-6.67E-01,0.00E+00,-1.09E-05
-7.11E-01,0.00E+00,-1.08E-05
-7.55E-01,0.00E+00,-1.08E-05
-8.00E-01,0.00E+00,-1.07E-05
-8.00E-01,-4.33E-02,-1.07E-05
-8.00E-01,-8.67E-02,-1.07E-05
-8.00E-01,-1.30E-01,-1.07E-05
-8.00E-01,-1.73E-01,-1.07E-05
-8.00E-01,-2.17E-01,-1.07E-05
-8.00E-01,-2.60E-01,-1.07E-05
-7.55E-01,-4.33E-02,-1.08E-05
-7.55E-01,-8.67E-02,-1.08E-05
-7.55E-01,-1.30E-01,-1.08E-05
-7.55E-01,-1.73E-01,-1.08E-05
-7.55E-01,-2.17E-01,-1.07E-05
-7.55E-01,-2.60E-01,-1.07E-05
-7.11E-01,-4.33E-02,-1.08E-05
-7.11E-01,-8.67E-02,-1.08E-05
-7.11E-01,-1.30E-01,-1.08E-05
-7.11E-01,-1.73E-01,-1.08E-05
-7.11E-01,-2.17E-01,-1.08E-05
-7.11E-01,-2.60E-01,-1.08E-05
-6.67E-01,-4.33E-02,-1.09E-05
-6.67E-01,-8.67E-02,-1.09E-05
-6.67E-01,-1.30E-01,-1.09E-05
-6.67E-01,-1.73E-01,-1.08E-05
-6.67E-01,-2.17E-01,-1.08E-05
-6.67E-01,-2.60E-01,-1.08E-05
-6.22E-01,-4.33E-02,-1.09E-05
-6.22E-01,-8.67E-02,-1.09E-05
-6.22E-01,-1.30E-01,-1.09E-05
-6.22E-01,-1.73E-01,-1.09E-05
-6.22E-01,-2.17E-01,-1.09E-05
-6.22E-01,-2.60E-01,-1.08E-05
-5.78E-01,-4.33E-02,-1.10E-05
-5.78E-01,-8.67E-02,-1.10E-05
-5.78E-01,-1.30E-01,-1.10E-05
-5.78E-01,-1.73E-01,-1.09E-05
-5.78E-01,-2.17E-01,-1.09E-05
-5.78E-01,-2.60E-01,-1.09E-05
-5.33E-01,-4.33E-02,-1.11E-05
-5.33E-01,-8.67E-02,-1.11E-05
-5.33E-01,-1.30E-01,-1.10E-05
-5.33E-01,-1.73E-01,-1.10E-05
-5.33E-01,-2.17E-01,-1.10E-05
-5.33E-01,-2.60E-01,-1.09E-05
-4.89E-01,-4.33E-02,-1.11E-05
-4.89E-01,-8.67E-02,-1.11E-05
-4.89E-01,-1.30E-01,-1.11E-05
-4.89E-01,-1.73E-01,-1.10E-05
-4.89E-01,-2.17E-01,-1.10E-05
-4.89E-01,-2.60E-01,-1.10E-05
-4.44E-01,-4.33E-02,-1.12E-05
-4.44E-01,-8.67E-02,-1.12E-05
-4.44E-01,-1.30E-01,-1.11E-05
-4.44E-01,-1.73E-01,-1.11E-05
-4.44E-01,-2.17E-01,-1.11E-05
-4.44E-01,-2.60E-01,-1.10E-05
-4.00E-01,-4.33E-02,-1.12E-05
-4.00E-01,-8.67E-02,-1.12E-05
-4.00E-01,-1.30E-01,-1.12E-05
-4.00E-01,-1.73E-01,-1.11E-05
-4.00E-01,-2.17E-01,-1.11E-05
-4.00E-01,-2.60E-01,-1.10E-05
-3.56E-01,-4.33E-02,-1.13E-05
-3.56E-01,-8.67E-02,-1.13E-05
-3.56E-01,-1.30E-01,-1.12E-05
-3.56E-01,-1.73E-01,-1.12E-05
-3.56E-01,-2.17E-01,-1.11E-05
-3.56E-01,-2.60E-01,-1.11E-05
-3.11E-01,-4.33E-02,-1.14E-05
-3.11E-01,-8.67E-02,-1.13E-05
-3.11E-01,-1.30E-01,-1.13E-05
-3.11E-01,-1.73E-01,-1.12E-05
-3.11E-01,-2.17E-01,-1.12E-05
-3.11E-01,-2.60E-01,-1.11E-05
-2.67E-01,-4.33E-02,-1.14E-05
-2.67E-01,-8.67E-02,-1.14E-05
-2.67E-01,-1.30E-01,-1.13E-05
-2.67E-01,-1.73E-01,-1.13E-05
-2.67E-01,-2.17E-01,-1.12E-05
-2.67E-01,-2.60E-01,-1.12E-05
-2.22E-01,-4.33E-02,-1.15E-05
-2.22E-01,-8.67E-02,-1.14E-05
-2.22E-01,-1.30E-01,-1.14E-05
-2.22E-01,-1.73E-01,-1.13E-05
-2.22E-01,-2.17E-01,-1.13E-05
-2.22E-01,-2.60E-01,-1.12E-05
-1.78E-01,-4.33E-02,-1.15E-05
-1.78E-01,-8.67E-02,-1.15E-05
-1.78E-01,-1.30E-01,-1.14E-05
-1.78E-01,-1.73E-01,-1.13E-05
-1.78E-01,-2.17E-01,-1.13E-05
-1.78E-01,-2.60E-01,-1.12E-05
-1.33E-01,-4.33E-02,-1.15E-05
-1.33E-01,-8.67E-02,-1.15E-05
-1.33E-01,-1.30E-01,-1.14E-05
-1.33E-01,-1.73E-01,-1.14E-05
-1.33E-01,-2.17E-01,-1.13E-05
-1.33E-01,-2.60E-01,-1.12E-05
-8.89E-02,-4.33E-02,-1.16E-05
-8.89E-02,-8.67E-02,-1.15E-05
-8.89E-02,-1.30E-01,-1.15E-05
-8.89E-02,-1.73E-01,-1.14E-05
-8.89E-02,-2.17E-01,-1.13E-05
-8.89E-02,-2.60E-01,-1.12E-05
-4.44E-02,-4.33E-02,-1.16E-05
-4.44E-02,-8.67E-02,-1.15E-05
-4.44E-02,-1.30E-01,-1.15E-05
-4.44E-02,-1.73E-01,-1.14E-05
-4.44E-02,-2.17E-01,-1.13E-05
-4.44E-02,-2.60E-01,-1.13E-05
