X Coodinate [mm],Z Coodinate [mm],Height [nm]
3.83E-01,-1.91E-01,-1.33E+00
3.83E-01,-2.54E-01,-1.32E+00
3.83E-01,-3.18E-01,-1.32E+00
3.83E-01,-3.81E-01,-1.31E+00
4.47E-01,-6.35E-02,-1.33E+00
4.47E-01,-1.27E-01,-1.33E+00
4.47E-01,-1.91E-01,-1.32E+00
4.47E-01,-2.54E-01,-1.32E+00
4.47E-01,-3.18E-01,-1.31E+00
4.47E-01,-3.81E-01,-1.31E+00
5.11E-01,-6.35E-02,-1.33E+00
5.11E-01,-1.27E-01,-1.32E+00
5.11E-01,-1.91E-01,-1.32E+00
5.11E-01,-2.54E-01,-1.32E+00
5.11E-01,-3.18E-01,-1.31E+00
5.11E-01,-3.81E-01,-1.31E+00
5.75E-01,-6.35E-02,-1.32E+00
5.75E-01,-1.27E-01,-1.32E+00
5.75E-01,-1.91E-01,-1.32E+00
5.75E-01,-2.54E-01,-1.31E+00
5.75E-01,-3.18E-01,-1.31E+00
5.75E-01,-3.81E-01,-1.30E+00
6.39E-01,-6.35E-02,-1.32E+00
6.39E-01,-1.27E-01,-1.31E+00
6.39E-01,-1.91E-01,-1.31E+00
6.39E-01,-2.54E-01,-1.31E+00
6.39E-01,-3.18E-01,-1.30E+00
6.39E-01,-3.81E-01,-1.30E+00
7.03E-01,-6.35E-02,-1.31E+00
7.03E-01,-1.27E-01,-1.31E+00
7.03E-01,-1.91E-01,-1.31E+00
7.03E-01,-2.54E-01,-1.30E+00
7.03E-01,-3.18E-01,-1.30E+00
7.03E-01,-3.81E-01,-1.29E+00
7.67E-01,-6.35E-02,-1.30E+00
7.67E-01,-1.27E-01,-1.30E+00
7.67E-01,-1.91E-01,-1.30E+00
7.67E-01,-2.54E-01,-1.30E+00
7.67E-01,-3.18E-01,-1.29E+00
7.67E-01,-3.81E-01,-1.29E+00
8.31E-01,-6.35E-02,-1.30E+00
8.31E-01,-1.27E-01,-1.30E+00
8.31E-01,-1.91E-01,-1.30E+00
8.31E-01,-2.54E-01,-1.29E+00
8.31E-01,-3.18E-01,-1.29E+00
8.31E-01,-3.81E-01,-1.29E+00
8.94E-01,-6.35E-02,-1.29E+00
8.94E-01,-1.27E-01,-1.29E+00
8.94E-01,-1.91E-01,-1.29E+00
8.94E-01,-2.54E-01,-1.29E+00
8.94E-01,-3.18E-01,-1.29E+00
8.94E-01,-3.81E-01,-1.28E+00
9.58E-01,-6.35E-02,-1.29E+00
9.58E-01,-1.27E-01,-1.29E+00
9.58E-01,-1.91E-01,-1.29E+00
9.58E-01,-2.54E-01,-1.28E+00
9.58E-01,-3.18E-01,-1.28E+00
9.58E-01,-3.81E-01,-1.28E+00
1.02E+00,-6.35E-02,-1.28E+00
1.02E+00,-1.27E-01,-1.28E+00
1.02E+00,-1.91E-01,-1.28E+00
1.02E+00,-2.54E-01,-1.28E+00
1.02E+00,-3.18E-01,-1.28E+00
1.02E+00,-3.81E-01,-1.28E+00
1.09E+00,-6.35E-02,-1.28E+00
1.09E+00,-1.27E-01,-1.28E+00
1.09E+00,-1.91E-01,-1.28E+00
1.09E+00,-2.54E-01,-1.28E+00
1.09E+00,-3.18E-01,-1.27E+00
1.09E+00,-3.81E-01,-1.27E+00
1.15E+00,-6.35E-02,-1.27E+00
1.15E+00,-1.27E-01,-1.27E+00
1.15E+00,-1.91E-01,-1.27E+00
1.15E+00,-2.54E-01,-1.27E+00
1.15E+00,-3.18E-01,-1.27E+00
1.15E+00,-3.81E-01,-1.27E+00
-6.39E-02,0.00E+00,-1.35E+00
-1.28E-01,0.00E+00,-1.35E+00
-1.92E-01,0.00E+00,-1.35E+00
-2.56E-01,0.00E+00,-1.34E+00
-3.19E-01,0.00E+00,-1.34E+00
-3.83E-01,0.00E+00,-1.34E+00
-4.47E-01,0.00E+00,-1.33E+00
-5.11E-01,0.00E+00,-1.32E+00
-5.75E-01,0.00E+00,-1.32E+00
-6.39E-01,0.00E+00,-1.31E+00
-7.03E-01,0.00E+00,-1.31E+00
-7.67E-01,0.00E+00,-1.30E+00
-8.31E-01,0.00E+00,-1.30E+00
-8.94E-01,0.00E+00,-1.29E+00
-9.58E-01,0.00E+00,-1.29E+00
-1.02E+00,0.00E+00,-1.28E+00
-1.09E+00,0.00E+00,-1.27E+00
-1.15E+00,0.00E+00,-1.27E+00
-1.15E+00,-6.35E-02,-1.27E+00
-1.15E+00,-1.27E-01,-1.27E+00
-1.15E+00,-1.91E-01,-1.27E+00
-1.15E+00,-2.54E-01,-1.27E+00
-1.15E+00,-3.18E-01,-1.27E+00
-1.15E+00,-3.81E-01,-1.26E+00
-1.09E+00,-6.35E-02,-1.27E+00
-1.09E+00,-1.27E-01,-1.27E+00
-1.09E+00,-1.91E-01,-1.27E+00
-1.09E+00,-2.54E-01,-1.27E+00
-1.09E+00,-3.18E-01,-1.27E+00
-1.09E+00,-3.81E-01,-1.27E+00
-1.02E+00,-6.35E-02,-1.28E+00
-1.02E+00,-1.27E-01,-1.28E+00
-1.02E+00,-1.91E-01,-1.28E+00
-1.02E+00,-2.54E-01,-1.28E+00
-1.02E+00,-3.18E-01,-1.27E+00
-1.02E+00,-3.81E-01,-1.27E+00
-9.58E-01,-6.35E-02,-1.28E+00
-9.58E-01,-1.27E-01,-1.28E+00
-9.58E-01,-1.91E-01,-1.28E+00
-9.58E-01,-2.54E-01,-1.28E+00
-9.58E-01,-3.18E-01,-1.28E+00
-9.58E-01,-3.81E-01,-1.28E+00
-8.94E-01,-6.35E-02,-1.29E+00
-8.94E-01,-1.27E-01,-1.29E+00
-8.94E-01,-1.91E-01,-1.29E+00
-8.94E-01,-2.54E-01,-1.28E+00
-8.94E-01,-3.18E-01,-1.28E+00
-8.94E-01,-3.81E-01,-1.28E+00
-8.31E-01,-6.35E-02,-1.30E+00
-8.31E-01,-1.27E-01,-1.29E+00
-8.31E-01,-1.91E-01,-1.29E+00
-8.31E-01,-2.54E-01,-1.29E+00
-8.31E-01,-3.18E-01,-1.29E+00
-8.31E-01,-3.81E-01,-1.28E+00
-7.67E-01,-6.35E-02,-1.30E+00
-7.67E-01,-1.27E-01,-1.30E+00
-7.67E-01,-1.91E-01,-1.30E+00
-7.67E-01,-2.54E-01,-1.29E+00
-7.67E-01,-3.18E-01,-1.29E+00
-7.67E-01,-3.81E-01,-1.29E+00
-7.03E-01,-6.35E-02,-1.31E+00
-7.03E-01,-1.27E-01,-1.31E+00
-7.03E-01,-1.91E-01,-1.30E+00
-7.03E-01,-2.54E-01,-1.30E+00
-7.03E-01,-3.18E-01,-1.30E+00
-7.03E-01,-3.81E-01,-1.29E+00
-6.39E-01,-6.35E-02,-1.31E+00
-6.39E-01,-1.27E-01,-1.31E+00
-6.39E-01,-1.91E-01,-1.31E+00
-6.39E-01,-2.54E-01,-1.30E+00
-6.39E-01,-3.18E-01,-1.30E+00
-6.39E-01,-3.81E-01,-1.30E+00
-5.75E-01,-6.35E-02,-1.32E+00
-5.75E-01,-1.27E-01,-1.32E+00
-5.75E-01,-1.91E-01,-1.31E+00
-5.75E-01,-2.54E-01,-1.31E+00
-5.75E-01,-3.18E-01,-1.30E+00
-5.75E-01,-3.81E-01,-1.30E+00
-5.11E-01,-6.35E-02,-1.32E+00
-5.11E-01,-1.27E-01,-1.32E+00
-5.11E-01,-1.91E-01,-1.32E+00
-5.11E-01,-2.54E-01,-1.31E+00
-5.11E-01,-3.18E-01,-1.31E+00
-5.11E-01,-3.81E-01,-1.30E+00
-4.47E-01,-6.35E-02,-1.33E+00
-4.47E-01,-1.27E-01,-1.33E+00
-4.47E-01,-1.91E-01,-1.32E+00
-4.47E-01,-2.54E-01,-1.32E+00
-4.47E-01,-3.18E-01,-1.31E+00
-4.47E-01,-3.81E-01,-1.31E+00
-3.83E-01,-6.35E-02,-1.33E+00
-3.83E-01,-1.27E-01,-1.33E+00
-3.83E-01,-1.91E-01,-1.33E+00
-3.83E-01,-2.54E-01,-1.32E+00
-3.83E-01,-3.18E-01,-1.32E+00
-3.83E-01,-3.81E-01,-1.31E+00
-3.19E-01,-6.35E-02,-1.34E+00
-3.19E-01,-1.27E-01,-1.34E+00
-3.19E-01,-1.91E-01,-1.33E+00
-3.19E-01,-2.54E-01,-1.32E+00
-3.19E-01,-3.18E-01,-1.32E+00
-3.19E-01,-3.81E-01,-1.31E+00
-2.56E-01,-6.35E-02,-1.34E+00
-2.56E-01,-1.27E-01,-1.34E+00
-2.56E-01,-1.91E-01,-1.33E+00
-2.56E-01,-2.54E-01,-1.33E+00
-2.56E-01,-3.18E-01,-1.32E+00
-2.56E-01,-3.81E-01,-1.31E+00
-1.92E-01,-6.35E-02,-1.35E+00
-1.92E-01,-1.27E-01,-1.34E+00
-1.92E-01,-1.91E-01,-1.34E+00
-1.92E-01,-2.54E-01,-1.33E+00
-1.92E-01,-3.18E-01,-1.32E+00
-1.92E-01,-3.81E-01,-1.32E+00
-1.28E-01,-6.35E-02,-1.35E+00
-1.28E-01,-1.27E-01,-1.34E+00
-1.28E-01,-1.91E-01,-1.34E+00
-1.28E-01,-2.54E-01,-1.33E+00
-1.28E-01,-3.18E-01,-1.33E+00
-1.28E-01,-3.81E-01,-1.32E+00
-6.39E-02,-6.35E-02,-1.35E+00
-6.39E-02,-1.27E-01,-1.35E+00
-6.39E-02,-1.91E-01,-1.34E+00
-6.39E-02,-2.54E-01,-1.33E+00
-6.39E-02,-3.18E-01,-1.33E+00
-6.39E-02,-3.81E-01,-1.32E+00
